Ligand_inchi,Base_inchi,Solvent_inchi,Product_inchi,Electrophile_inchi,Nucleophile_inchi,Precatalyst_inchi,Base,Electrophile,Electrophile_PCI_Name,Ligand,Nucleophile,Nucleophile_PCI_Name,Precatalyst,Product,Solvent,Screen_ID,umol_Screen,Entry,Well,Row,Column,Base_Equiv,Electrophile_Equiv,Ligand_Equiv,Nucleophile_Equiv,Precatalyst_Equiv,Concentration,Time_h,Temp_C,SampleName,Vial,AP_ISO,AP_PDT,AP_STD,Mean_AP,Max_AP,SD_AP,Z_Score_AP,RelYield_PDT,Mean_RY,Max_RY,SD_RY,Z_Score_RY,Yield,Mean_Yield,Max_Yield,SD_Yield,Z_Score_Yield,Product_MW,Solvent_density,Solvent_mass,Product_mg,Base_Cost,Base_amt,Base_MW,Base_price.mol,Solvent_Cost,Solvent_amt,Solvent_MW,Solvent_price.mol,Ligand_Cost,Ligand_amt,Ligand_MW,Ligand_price.mol,Ligand_dol,Base_dol,Solvent_dol,reagent_cost,Nucleophile_MW,Electrophile_MW,Precatalyst_MW,Nucleophile_mg,Electrophile_mg,Precatalyst_mg,Ligand_mg,Base_mg,Total_mg,PMI
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,89,89,H,5,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_89,"5:H,5",3.036,21.068,39.704,22.45728125,69.745,22.44484754,-0.061897558,0.530626637,0.762215688,2.990071238,0.936807129,-0.247211026,13.71,21.37520833,92.25,29.80040286,-0.247151301,201.204,0.86,0.08431372549019608,0.413776026,167,25,191.95,1282.226,312,2580,106.16,12.83795349,49.6,100,262.29,130.09584,3.72e-5,0.007514999999999999,0.2477946717496343,0.2553468717496343,107.116,175,365.85,3.21348,2.625,0.123474375,0.19671750000000002,8.63775,99.52392339119608,240.52607482676166
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C2H4O2.Cs/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOAc,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,90,90,H,6,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_90,"5:H,6",3.886,35.045,12.918,22.45728125,69.745,22.44484754,0.560828882,2.712881251,0.762215688,2.990071238,0.936807129,2.082248846,76.63,21.37520833,92.25,29.80040286,2.082347409,201.204,0.86,0.08431372549019608,2.312739378,167,25,191.95,1282.226,312,2580,106.16,12.83795349,580,25,476.72,11059.904,4.35e-4,0.007514999999999999,0.2477946717496343,0.2557446717496343,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,8.63775,101.58370924319608,43.923543746223224
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,91,91,H,7,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_91,"5:H,7",0.65,17.518,19.169,22.45728125,69.745,22.44484754,-0.220063034,0.913871355,0.762215688,2.990071238,0.936807129,0.161885688,24.76,21.37520833,92.25,29.80040286,0.161903572,201.204,0.86,0.08431372549019608,0.7472716560000001,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,29.7,0.1,536.77,159420.69,2.2275e-5,0.01053,0.2477946717496343,0.25834694674963427,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,10.531349999999998,101.95687902119609,136.4388414876478
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,92,92,H,8,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_92,"5:H,8",0,0,25.627,22.45728125,69.745,22.44484754,-1.000553967,0,0.762215688,2.990071238,0.936807129,-0.813631392,0,21.37520833,92.25,29.80040286,-0.813586596,201.204,0.86,0.08431372549019608,0,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,102,1,222.31,22675.62,7.65e-5,0.01053,0.2477946717496343,0.2584011717496343,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,10.531349999999998,100.97376236519608,Inf
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,93,93,H,9,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_93,"5:H,9",0.5,19.778,18.305,22.45728125,69.745,22.44484754,-0.119371773,1.080469817,0.762215688,2.990071238,0.936807129,0.339722147,29.56,21.37520833,92.25,29.80040286,0.339753517,201.204,0.86,0.08431372549019608,0.8921385359999999,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,200,0.25,404.53,323624,1.5000000000000001e-4,0.01053,0.2477946717496343,0.2584746717496343,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,10.531349999999998,102.00256590119609,114.33489506970037
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,94,94,H,10,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_94,"5:H,10",0.603,1.164,23.073,22.45728125,69.745,22.44484754,-0.948693513,0.050448576,0.762215688,2.990071238,0.936807129,-0.759779778,0,21.37520833,92.25,29.80040286,-0.759896047,201.204,0.86,0.08431372549019608,0,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,108,5,368.24,7953.984,8.1e-5,0.01053,0.2477946717496343,0.2584056717496343,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,10.531349999999998,101.08320986519608,Inf
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,95,95,H,11,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_95,"5:H,11",6.078,2.739,21.358,22.45728125,69.745,22.44484754,-0.878521506,0.128242345,0.762215688,2.990071238,0.936807129,-0.676738385,2.11,21.37520833,92.25,29.80040286,-0.676675696,201.204,0.86,0.08431372549019608,0.063681066,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,49.6,100,262.29,130.09584,3.72e-5,0.01053,0.2477946717496343,0.25836187174963426,107.116,175,365.85,3.21348,2.625,0.123474375,0.19671750000000002,10.531349999999998,101.06742843119609,1587.0875721709197
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C5H10O2.Cs/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",CsOPiv,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,p-Xylene,ReqID_A24A8_090_008,15,96,96,H,12,3,1,0.05,2,0.0225,0.153,24,105,A24A8_090_008_96,"5:H,12",4.399,34.249,13.077,22.45728125,69.745,22.44484754,0.525364172,2.61902577,0.762215688,2.990071238,0.936807129,1.98206229,73.93,21.37520833,92.25,29.80040286,1.982013195,201.204,0.86,0.08431372549019608,2.2312517580000004,234,25,234.03,2190.5208,312,2580,106.16,12.83795349,580,25,476.72,11059.904,4.35e-4,0.01053,0.2477946717496343,0.25875967174963427,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,10.531349999999998,103.39582162319608,46.3398275216938
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,1,1,A,1,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_01,"6:A,1",0,18.69,71.445,25.4905,69.659,23.04710571,-0.295069589,0.261599832,0.869138942,2.991711046,0.978496576,-0.620890379,5.95,24.77625,92.3,31.12709668,-0.62088187,201.204,0.937,0.09186274509803924,0.17957457,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,29.7,0.1,536.77,159420.69,2.2275e-5,0.0045,0.18874462089702734,0.19326689589702734,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,4.4163,102.82315154303924,572.5930544789235
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,2,2,A,2,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_02,"6:A,2",0.747,14.305,70.059,25.4905,69.659,23.04710571,-0.485332091,0.204185044,0.869138942,2.991711046,0.978496576,-0.679566913,4.3,24.77625,92.3,31.12709668,-0.67967309,201.204,0.937,0.09186274509803924,0.12977658,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,102,1,222.31,22675.62,7.65e-5,0.0045,0.18874462089702734,0.19332112089702735,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,4.4163,102.53750855303923,790.1079574838483
"InChI=1S/C26H33N2P/c1-26(2,3)29(20-14-9-8-10-15-20)24-19-12-11-16-21(24)25-22(27(4)5)17-13-18-23(25)28(6)7/h8-19H,1-7H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,tBPh-CPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,3,3,A,3,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_03,"6:A,3",1.19,63.059,23.256,25.4905,69.659,23.04710571,1.630074529,2.711515308,0.869138942,2.991711046,0.978496576,1.882864396,76.59,24.77625,92.3,31.12709668,1.882724579,201.204,0.937,0.09186274509803924,2.311532154,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,200,0.25,404.53,323624,1.5000000000000001e-4,0.0045,0.18874462089702734,0.19339462089702736,107.116,175,365.85,3.21348,2.625,0.123474375,0.3033975,4.4163,104.85592912703925,45.362089792084824
"InChI=1S/C18H33P.BF4/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;2-1(3,4)5/h16-18H,1-15H2;/q;-1/p+1","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PCy3 HBF4,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,4,4,A,4,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_04,"6:A,4",1.49,27.419,58.551,25.4905,69.659,23.04710571,0.08367645,0.4682926,0.869138942,2.991711046,0.978496576,-0.409655335,11.91,24.77625,92.3,31.12709668,-0.409811751,201.204,0.937,0.09186274509803924,0.359450946,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,108,5,368.24,7953.984,8.1e-5,0.0045,0.18874462089702734,0.19332562089702734,107.116,175,365.85,3.21348,2.625,0.123474375,0.27618,4.4163,102.87663041903923,286.2049232693888
InChI=1S/C18H15P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H,"InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,PPh3,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,5,5,A,5,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_05,"6:A,5",1.774,59.175,31.938,25.4905,69.659,23.04710571,1.461550115,1.852808567,0.869138942,2.991711046,0.978496576,1.005286731,51.83,24.77625,92.3,31.12709668,1.005353963,201.204,0.937,0.09186274509803924,1.5642604979999999,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,49.6,100,262.29,130.09584,3.72e-5,0.0045,0.18874462089702734,0.19328182089702733,107.116,175,365.85,3.21348,2.625,0.123474375,0.19671750000000002,4.4163,104.00197747103924,66.48635416160668
"InChI=1S/C33H49P/c1-23(2)26-21-30(24(3)4)33(31(22-26)25(5)6)29-19-13-14-20-32(29)34(27-15-9-7-10-16-27)28-17-11-8-12-18-28/h13-14,19-25,27-28H,7-12,15-18H2,1-6H3","InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOAc,1-Bromo-2-fluorobenzene,7,X-Phos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,6,6,A,6,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_06,"6:A,6",0.911,69.659,23.284,25.4905,69.659,23.04710571,1.916444544,2.991711046,0.869138942,2.991711046,0.978496576,2.169217711,84.67,24.77625,92.3,31.12709668,2.16929162,201.204,0.937,0.09186274509803924,2.5553914019999997,100,36.2,98.14,271.1049724,179,1874,87.12,8.32149413,580,25,476.72,11059.904,4.35e-4,0.0045,0.18874462089702734,0.19367962089702734,107.116,175,365.85,3.21348,2.625,0.123474375,0.35754,4.4163,105.15393087503924,41.14983356081561
"InChI=1S/C35H53O2P/c1-23(2)26-21-29(24(3)4)33(30(22-26)25(5)6)34-31(36-7)19-20-32(37-8)35(34)38(27-15-11-9-12-16-27)28-17-13-10-14-18-28/h19-25,27-28H,9-18H2,1-8H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,BrettPhos,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,7,7,A,7,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_07,"6:A,7",0,6.978,81.008,25.4905,69.659,23.04710571,-0.803246196,0.086139641,0.869138942,2.991711046,0.978496576,-0.800206481,0.89,24.77625,92.3,31.12709668,-0.800146903,201.204,0.937,0.09186274509803924,0.026860733999999997,44,25,140.22,246.7872,179,1874,87.12,8.32149413,29.7,0.1,536.77,159420.69,2.2275e-5,0.00198,0.18874462089702734,0.19074689589702734,107.116,175,365.85,3.21348,2.625,0.123474375,0.4025775,6.309900000000001,104.56403770703925,3892.821309612733
"InChI=1S/C14H23P/c1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12/h7-11H,1-6H3","InChI=1S/C5H10O2.K/c1-5(2,3)4(6)7;/h1-3H3,(H,6,7);/q;+1/p-1",InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,"InChI=1S/C11H8FN3/c1-15-7-14-10(6-13)11(15)8-4-2-3-5-9(8)12/h2-5,7H,1H3",InChI=1S/C6H4BrF/c7-5-3-1-2-4-6(5)8/h1-4H,"InChI=1S/C5H5N3/c1-8-3-5(2-6)7-4-8/h3-4H,1H3","InChI=1S/2C3H5.2ClH.2Pd/c2*1-3-2;;;;/h2*3H,1-2H2;2*1H;;/q2*-1;;;2*+2/p-2",KOPiv,1-Bromo-2-fluorobenzene,7,PPhtBu2,1-Methyl-1H-imidazole-4-carbonitrile,C,[(Allyl)PdCl]2,C7,DMAc,ReqID_A24A8_090_009,15,8,8,A,8,3,1,0.05,2,0.0225,0.153,24,120,A24A8_090_009_08,"6:A,8",0,4.198,77.823,25.4905,69.659,23.04710571,-0.923868718,0.053942922,0.869138942,2.991711046,0.978496576,-0.833110754,0,24.77625,92.3,31.12709668,-0.833237043,201.204,0.937,0.09186274509803924,0,44,25,140.22,246.7872,179,1874,87.12,8.32149413,102,1,222.31,22675.62,7.65e-5,0.00198,0.18874462089702734,0.19080112089702736,107.116,175,365.85,3.21348,2.625,0.123474375,0.1667325,6.309900000000001,104.30133197303924,Inf
